"No benefit",231
"Less traffic and noise",66
"No response",61
"Road safety and health aspects",42
"Safe cycling and walking",33
"Quieter areas",24
"Less traffic and pollution" 15
"Creation of more livable areas and less pollution",13
"Benefits residents of LTNs, especially those who can walk, etc.",13
"Blocking rat runs",9
"Reduction in speeding",7
"Reduction in car use and increase in walking",7
"Divisive measure - all roads should be LTNs",1
"Value of property on LTN roads",1
"Some roads are quicker",1
